Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Zhang, Z.-Y., Wang, L., Wang, P., Li, T.-P., Jiang, Y.-O., Li, Y.-P.",Investigation on the current situations of human resource management in public hospital pharmacies,2010,Chinese Journal of Evidence-Based Medicine,10,1,,5,9,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-77749255840&partnerID=40&md5=a252ce7247787a5771ad7723ff562a99,Article,Final,,Scopus,2-s2.0-77749255840
"Gospel, H., Sako, M.",The unbundling of corporate functions: The evolution of shared services and outsourcing in human resource management,2010,Industrial and Corporate Change,19,5, dtq002,1367,1396,63,10.1093/icc/dtq002,https://www.scopus.com/inward/record.url?eid=2-s2.0-77952687293&partnerID=40&md5=dcfb502d1eaca79435716752ca20e3ff,Article,Final,,Scopus,2-s2.0-77952687293
"Castrogiovanni, G.J., Kidwell, R.E.",Human resource management practices Affecting unit managers in franchise networks,2010,Human Resource Management,49,2,,225,239,25,10.1002/hrm.20345,https://www.scopus.com/inward/record.url?eid=2-s2.0-77952228929&partnerID=40&md5=5973a34bc055bb8adab6d7d93733f05a,Article,Final,,Scopus,2-s2.0-77952228929
"Beenen, G., Rousseau, D.M.","Erratum for: ""Getting the most from mba internships: Promoting intern learning and job acceptance"" [Human Resource Management 49(1) (2010) 3-22]",2010,Human Resource Management,49,2,,341,,,10.1002/hrm.20351,https://www.scopus.com/inward/record.url?eid=2-s2.0-77952161421&partnerID=40&md5=2096c0331696bb6ee2ba7fa394a5a414,Erratum,Final,,Scopus,2-s2.0-77952161421
"Otto, K., Dalbert, C.",New challenges for human resource management: Readiness to perform a mobile job and its antecedents,2010,International Journal of Human Resource Management,21,4,,600,614,14,10.1080/09585191003612109,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951240550&partnerID=40&md5=a54ecb4a021d9f3311c7cc5b42e7d2af,Article,Final,,Scopus,2-s2.0-77951240550
"Sloan, K., Gavin, J.H.",Human resource management: Meeting the ethical obligations of the function,2010,Business and Society Review,115,1,,57,74,9,10.1111/j.1467-8594.2009.00357.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-77951181355&partnerID=40&md5=4607f432ff6595b06a6ce13e634639db,Article,Final,,Scopus,2-s2.0-77951181355
"Chuang, C.-H., Liao, H.",Strategic human resource management in service context: Taking care of business by taking care of employees and customers,2010,Personnel Psychology,63,1,,153,196,271,10.1111/j.1744-6570.2009.01165.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-77749336623&partnerID=40&md5=4b0e52a2278bbbef14a0f91a85f73e6d,Article,Final,,Scopus,2-s2.0-77749336623
"Perry, J.L.",A strategic agenda for public human resource management research,2010,Review of Public Personnel Administration,30,1,,20,43,26,10.1177/0734371X09351821,https://www.scopus.com/inward/record.url?eid=2-s2.0-77749324035&partnerID=40&md5=08312470546287835d1be8d20553e71b,Article,Final,,Scopus,2-s2.0-77749324035
"Llorens, J.J., Battaglio Jr., R.P.",Human resources management in a changing world: Reassessing public human resources management education,2010,Review of Public Personnel Administration,30,1,,112,132,15,10.1177/0734371X09351828,https://www.scopus.com/inward/record.url?eid=2-s2.0-77749283053&partnerID=40&md5=57b820e527360574dcd3e98e5d8ebb52,Article,Final,,Scopus,2-s2.0-77749283053
"Esbjerg, L., Buck, N., Grunert, K.G.",Making working in retailing interesting: A study of human resource management practices in Danish grocery retail chains,2010,Journal of Retailing and Consumer Services,17,2,,97,108,14,10.1016/j.jretconser.2009.10.004,https://www.scopus.com/inward/record.url?eid=2-s2.0-76049114696&partnerID=40&md5=aa38ce96bd3e184ea018d53ebd33756e,Article,Final,,Scopus,2-s2.0-76049114696
"Akong'o Dimba, B.",Strategic human resource management practices: Effect on performance,2010,African Journal of Economic and Management Studies,1,2,,128,137,18,10.1108/20400701011073455,https://www.scopus.com/inward/record.url?eid=2-s2.0-84986173155&partnerID=40&md5=71428620c8113eaa897fb6ee2b34dbad,Article,Final,,Scopus,2-s2.0-84986173155
"Ridder, H.-G., McCandless, A.",Influences on the architecture of human resource management in nonprofit organizations: An analytical framework,2010,Nonprofit and Voluntary Sector Quarterly,39,1,,124,141,73,10.1177/0899764008328182,https://www.scopus.com/inward/record.url?eid=2-s2.0-77949402724&partnerID=40&md5=07b9fa922a5e6089c1a641e7f8112ecf,Article,Final,,Scopus,2-s2.0-77949402724
"Flouris, T., Yilmaz, A.K.",The risk management framework to strategic human resource management,2010,International Research Journal of Finance and Economics,36,1,,25,45,9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-76549134757&partnerID=40&md5=527ddff543488ff26204c9dc6775a9b2,Article,Final,,Scopus,2-s2.0-76549134757
"Rasmussen, E., Andersen, T., Haworth, N.",Has the strategic role and professional status of human resource management peaked in New Zealand?,2010,Journal of Industrial Relations,52,1,,103,118,14,10.1177/0022185609353992,https://www.scopus.com/inward/record.url?eid=2-s2.0-76549108899&partnerID=40&md5=7134f62d4b3f3a742722c144e1d7f10e,Article,Final,,Scopus,2-s2.0-76549108899
[No author name available],Human resource management and diversity,2010,The Dynamics of Managing Diversity: A Critical Approach: Third Edition,,,,225,247,,10.4324/9780080966175,https://www.scopus.com/inward/record.url?eid=2-s2.0-84906112409&partnerID=40&md5=fc813da8333d3f05e679f6307779fb93,Book Chapter,Final,,Scopus,2-s2.0-84906112409
"Keeble?Ramsay, D., Armitage, A.",Total quality management meets human resource management: Perceptions of the shift towards high performance working,2010,The TQM Journal,22,1,,5,25,5,10.1108/17542731011009595,https://www.scopus.com/inward/record.url?eid=2-s2.0-76649083223&partnerID=40&md5=0d132f113be8c7dea90fc67d396e0adf,Article,Final,,Scopus,2-s2.0-76649083223
"Weir, D.T.H., Mangaliso, M.P., Mangaliso, N.A.",Some implications of the inter-cultural approach to international human resource management: Ubuntu and Ummah,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",,,,,,,10.5465/ambpp.2010.54493689,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088716708&partnerID=40&md5=50f88bf1532073dd10a93bc4a932a126,Conference Paper,Final,,Scopus,2-s2.0-85088716708
"Höglund, M.",Exchange climate: A multilevel psychological contract perspective on human resource management,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",,,,,,,10.5465/ambpp.2010.54494982,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088339293&partnerID=40&md5=7e41fc3e41e268e4c5dcc22d4ccefbd1,Conference Paper,Final,,Scopus,2-s2.0-85088339293
"McIver, D., Ramachandran, I., Lengnick-Hall, C.A., Lengnick-Hall, M.L.",Rethinking the nature of knowledge management research: Implications for strategic human resource management,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",,,,,,2,10.5465/ambpp.2010.54497972,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087244387&partnerID=40&md5=2c2cca1948a22e028a62450f764166cc,Conference Paper,Final,,Scopus,2-s2.0-85087244387
"Duanxiang, F., Meixia, S.",The researches on enterprise human resources management in economic crisis,2010,"Proceedings of 2010 International Conference on Industry Engineering and Management, ICIEM 2010",,,,314,317,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085982137&partnerID=40&md5=12f488ace92077c70d0cad5545cb396d,Conference Paper,Final,,Scopus,2-s2.0-85085982137
"Malin, P.",The human resource conformity model of industry purchasing in the risk management,2010,"Proceedings of 2010 International Conference on Industry Engineering and Management, ICIEM 2010",,,,404,407,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085974149&partnerID=40&md5=86e415d9bf3de232b8f02f642527195c,Conference Paper,Final,,Scopus,2-s2.0-85085974149
"Cohen, M., Russell, D.","Human resource management in spas: Staff recruitment, retention and remuneration",2010,Understanding the Global Spa Industry,,,,377,393,,10.4324/9780080879161-34,https://www.scopus.com/inward/record.url?eid=2-s2.0-85076072017&partnerID=40&md5=62590c269ab15bc29407dfb3b1624626,Book Chapter,Final,,Scopus,2-s2.0-85076072017
[No author name available],Presidential transition guide to federal human resources management,2010,Political Transition Process: Presidential and Congressional,,,,81,140,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85044416568&partnerID=40&md5=6342478211ee3a08c264efa24ffb53be,Book Chapter,Final,,Scopus,2-s2.0-85044416568
"Bourgeon, L.",Human resource management in project-based organization: Towards an orthogonal approach,2010,Career Development,,,,25,36,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85035032004&partnerID=40&md5=23d75323b52a2b2027716d5e8f824cd7,Book Chapter,Final,,Scopus,2-s2.0-85035032004
"Ficapal-Cusí, P., Torrent-Sellens, J., Curós-Vilà, P.","Information technology, human resources management systems and firm performance: An empirical analysis from Spain",2010,"ICSIT 2010 - International Conference on Society and Information Technologies, Proceedings",,,,122,127,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85032896160&partnerID=40&md5=24a8f9b99545a8a07c9e6e428f2b5d02,Conference Paper,Final,,Scopus,2-s2.0-85032896160
"Dieuaide, P.","MNCs, human resource management and social dialogue in the Central and Eastern European food industry",2010,Globalizing Employment Relations: Multinational Firms and Central and Eastern Europe Transitions,,,,83,98,1,10.1057/9780230306813_6,https://www.scopus.com/inward/record.url?eid=2-s2.0-85015916352&partnerID=40&md5=530a6ccb8e3de46e0bae284bd6849538,Book Chapter,Final,,Scopus,2-s2.0-85015916352
"García, J.B.",Quality of human resources management systems as a function of the ISO 9001:2000 certification. Some associated evidence/indicators | La calidad de los sistemas de gestión de recursos humanos en función de la tenencia o no de la certificación ISO 9001:2000. Algunas evidencias/indicadores asociados,2010,Estudios Gerenciales,26,115,,39,64,2,10.1016/S0123-5923(10)70111-X,https://www.scopus.com/inward/record.url?eid=2-s2.0-84953386732&partnerID=40&md5=91dbaff1b86dfc4853ace42a4355c57c,Article,Final,Open Access,Scopus,2-s2.0-84953386732
"Behrens, A., Wright, J.",American human resource management techniques fit poorly in Latin America,2010,Towards the Next Orbit: A Corporate Odyssey,,,,285,300,,10.4135/9788132106760.n15,https://www.scopus.com/inward/record.url?eid=2-s2.0-84950257501&partnerID=40&md5=01a25272bb0007f67c6810c1ba7d3f5d,Book Chapter,Final,,Scopus,2-s2.0-84950257501
"York, K.M.",Applied human resource management: Strategic issues and experiential exercises,2010,Applied Human Resource Management: Strategic Issues and Experiential Exercises,,,,1,411,5,10.4135/9781452274959,https://www.scopus.com/inward/record.url?eid=2-s2.0-84950244087&partnerID=40&md5=d34a6695b6514ec2017534bcaa91b50c,Book,Final,,Scopus,2-s2.0-84950244087
"Budhwar, P.S., Debrah, Y.A.",Human resource management in developing countries,2010,The SAGE Handbook of Human Resource Management,,,,393,406,3,10.4135/9780857021496.n23,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949604456&partnerID=40&md5=25027e6c1ecbeadb4317ec7e54f93761,Book Chapter,Final,,Scopus,2-s2.0-84949604456
"Boselie, P., Paauwe, J.",Human resource management and the resource based view,2010,The SAGE Handbook of Human Resource Management,,,,421,437,3,10.4135/9780857021496.n25,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949575833&partnerID=40&md5=4655637ecc14fdb1a4248011b1546127,Book Chapter,Final,,Scopus,2-s2.0-84949575833
"Wilkinson, A., Bacon, N., Redman, T., Snell, S.",The SAGE handbook of human resource management,2010,The SAGE Handbook of Human Resource Management,,,,1,592,10,10.4135/9780857021496,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949562285&partnerID=40&md5=af1bb05a39378ed8db47767285ed3a6d,Book,Final,,Scopus,2-s2.0-84949562285
"Gittell, J.H., Seidner, R.",Human resource management in the service sector,2010,The SAGE Handbook of Human Resource Management,,,,509,523,4,10.4135/9780857021496.n30,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949558312&partnerID=40&md5=7b556544e8557c8e290dc83c888e31bf,Book Chapter,Final,,Scopus,2-s2.0-84949558312
"Wilkinson, A., Redman, T., Snell, S., Bacon, N.",Field of human resource management,2010,The SAGE Handbook of Human Resource Management,,,,3,11,7,10.4135/9780857021496.n1,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949557486&partnerID=40&md5=78b81325aec136defa2d4039735a761c,Book Chapter,Final,,Scopus,2-s2.0-84949557486
"Becker, B.E., Huselid, M.A.",Strategic human resources management: Where do we go from here?,2010,The SAGE Handbook of Human Resource Management,,,,351,376,8,10.4135/9780857021496.n21,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949556807&partnerID=40&md5=7c5a605729a0136728bfa1feba2b9365,Book Chapter,Final,,Scopus,2-s2.0-84949556807
"Bach, S.",Human resource management in the public sector,2010,The SAGE Handbook of Human Resource Management,,,,561,577,2,10.4135/9780857021496.n33,https://www.scopus.com/inward/record.url?eid=2-s2.0-84949548604&partnerID=40&md5=06ec4bc60a154505add6fd4bf114bcbc,Book Chapter,Final,,Scopus,2-s2.0-84949548604
"Kutschera, I., Ryan, M.H.",The future role of human resource management in non-terrestrial settlements: Some preliminary thoughts1,2010,Lunar Settlements,,,,87,100,2,10.1201/9781420083330,https://www.scopus.com/inward/record.url?eid=2-s2.0-84929565890&partnerID=40&md5=5824dbcdd350a81ba9b4da927b04de47,Book Chapter,Final,,Scopus,2-s2.0-84929565890
"Colakoglu, S., Hong, Y., Lepak, D.P.",Models of strategic human resource management,2010,The SAGE Handbook of Human Resource Management,,,,31,50,9,10.4135/9780857021496.n3,https://www.scopus.com/inward/record.url?eid=2-s2.0-84928166955&partnerID=40&md5=e29e1c044149af95bd1eedcfba717d83,Book Chapter,Final,,Scopus,2-s2.0-84928166955
"Mal, R.C., Andre, S., Hamat, C.O.",Implementing need's analysis regarding the human resources management in resita city,2010,"Proceedings of the International Conference of DAAAM Baltic ""Industrial Engineering""",,,,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84920464729&partnerID=40&md5=099e3e774598807640cb2da9d4a5f3c6,Conference Paper,Final,,Scopus,2-s2.0-84920464729
"Ong'eta, K.R.",Integration of information technology in human resource management practices: A study of universities in Kenya,2010,"Business Transformation through Innovation and Knowledge Management: An Academic Perspective - Proceedings of the 14th International Business Information Management Association Conference, IBIMA 2010",2,,,941,950,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84905122560&partnerID=40&md5=6113d2ec9816b16e86bbfb08855476e9,Conference Paper,Final,,Scopus,2-s2.0-84905122560
"Ciolac, C.E.",An analysis of ICT human resources management in the romanian banking industry,2010,"Knowledge Management and Innovation: A Business Competitive Edge Perspective - Proceedings of the 15th International Business Information Management Association Conference, IBIMA 2010",3,,,1813,1826,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84905093681&partnerID=40&md5=0e0df5b6b511e037466035491938f717,Conference Paper,Final,,Scopus,2-s2.0-84905093681
"Lut, D.M., Mitariu, C.A.",Considerations regarding the human resource management in the Romanian trade enterprises,2010,Annals of DAAAM and Proceedings of the International DAAAM Symposium,,,,1427,1428,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84904419391&partnerID=40&md5=97a163a8141fe67782999f5eac221370,Conference Paper,Final,,Scopus,2-s2.0-84904419391
"Suzuki, H., Kubo, K.",Globalization of Japanese Firms and Human Resource Management,2010,The Multi-Dimensions of Industrial Relations in the Asian Knowledge-Based Economies,,,,47,69,,10.1016/B978-1-84334-264-9.50003-9,https://www.scopus.com/inward/record.url?eid=2-s2.0-84904143074&partnerID=40&md5=a3d498404894a717585b36e06a42c429,Book Chapter,Final,,Scopus,2-s2.0-84904143074
"Gospel, H.",Human resources management: A historical perspective,2010,The SAGE Handbook of Human Resource Management,,,,12,30,3,10.4135/9780857021496.n2,https://www.scopus.com/inward/record.url?eid=2-s2.0-84900547298&partnerID=40&md5=70a627731f762d34623c4ba0768f9130,Book Chapter,Final,,Scopus,2-s2.0-84900547298
"O?krdal, V., Jelínková, P.",Human resources management in ICT context– the drivers of personnel performance,2010,"IDIMT 2010: Information Technology - Human Values, Innovation and Economy - 18th Interdisciplinary Information Management Talks",,,,145,152,9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84899130998&partnerID=40&md5=b86848adec2fb6824e8414e0de26fb1c,Conference Paper,Final,,Scopus,2-s2.0-84899130998
"Jackson, L.A.",Enterprise resource planning systems: Revolutionizing lodging human resources management,2010,Worldwide Hospitality and Tourism Themes,2,1,,20,29,,10.1108/17554211011012577,https://www.scopus.com/inward/record.url?eid=2-s2.0-84898436935&partnerID=40&md5=24d3965988bccc2311ffc7af17e8d349,Article,Final,,Scopus,2-s2.0-84898436935
"Maxwell, G.A., Findlay, L., McLean, M.E.",Establishing a human resource management function based on organisational culture,2010,Problems and Perspectives in Management,8,3,,183,192,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84891848266&partnerID=40&md5=ab5b9bbf38b73941704413de8c2b02e7,Article,Final,,Scopus,2-s2.0-84891848266
"Ministr, J., ?tevko, M.",Human resources requirements for professional management of ITSCM process,2010,"IDIMT 2010: Information Technology - Human Values, Innovation and Economy - 18th Interdisciplinary Information Management Talks",,,,57,64,14,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84884606946&partnerID=40&md5=002dfdc73e5a5e59883b2d9df7f2821b,Conference Paper,Final,,Scopus,2-s2.0-84884606946
"Hall, R., Wailes, N.",International and comparative human resource management,2010,The SAGE Handbook of Human Resource Management,,,,115,132,10,10.4135/9780857021496.n8,https://www.scopus.com/inward/record.url?eid=2-s2.0-84881958572&partnerID=40&md5=ebc230576cd1dd7369fffca6bbea58c7,Book Chapter,Final,,Scopus,2-s2.0-84881958572
"Marchington, M., Cooke, F.L., Hebson, G.",Human resource management across organizational boundaries,2010,The SAGE Handbook of Human Resource Management,,,,460,474,6,10.4135/9780857021496.n27,https://www.scopus.com/inward/record.url?eid=2-s2.0-84864620703&partnerID=40&md5=e3993d4e41f8f321fab1449322a73049,Book Chapter,Final,,Scopus,2-s2.0-84864620703
"Kiyik, G., Ataman, E.O.",Human resources problems in the turkish media management and solution model developed in terms of new management approaches,2010,International Journal of the Humanities,8,8,,199,213,,10.18848/1447-9508/cgp/v08i08/43002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863653016&partnerID=40&md5=18d23689ef3cbbd50ed6b5d6b020a240,Article,Final,,Scopus,2-s2.0-84863653016
"Palmieri, P.A., Peterson, L.T., Pesta, B.J., Flit, M.A., Saettone, D.M.","Safety culture as a contemporary healthcare construct: Theoretical review, research assessment, and translation to human resource management",2010,Advances in Health Care Management,9,,,97,133,14,10.1108/S1474-8231(2010)0000009009,https://www.scopus.com/inward/record.url?eid=2-s2.0-84856700575&partnerID=40&md5=cfe6eeebd1c64159ede71daf6da3c281,Article,Final,,Scopus,2-s2.0-84856700575
"Blackman, D., O’Flynn, J., Mishra, D.P.",Can strategic human resource management enable gross national happiness?,2010,International Journal of Commerce and Management,20,3,,232,245,2,10.1108/10569211011076929,https://www.scopus.com/inward/record.url?eid=2-s2.0-80052908016&partnerID=40&md5=47cb0c657c62748984bd50c203234290,Article,Final,,Scopus,2-s2.0-80052908016
"Chand, M.",Human resource management practices in indian hospitality enterprises: An empirical analysis,2010,Managing Leisure,15,2-Jan,,4,16,10,10.1080/13606710903447972,https://www.scopus.com/inward/record.url?eid=2-s2.0-79960211101&partnerID=40&md5=57393a9382a28f05167e4901cdacb180,Article,Final,,Scopus,2-s2.0-79960211101
"Gil Lafuente, A.M., Barcellos Paula, L.",Algorithms applied in the sustainable management of human resources,2010,Fuzzy Economic Review,15,1,,39,51,3,10.25102/fer.2010.01.03,https://www.scopus.com/inward/record.url?eid=2-s2.0-79960053000&partnerID=40&md5=8eda2c21f42ac856810731228bcfd3d9,Article,Final,,Scopus,2-s2.0-79960053000
"Edralin, D.M.",Human resource management practices: Drivers for stimulating corporate entrepreneurship in large companies in the Philippines,2010,DLSU Business and Economics Review,19,2,,25,41,13,10.3860/ber.v19i2.1471,https://www.scopus.com/inward/record.url?eid=2-s2.0-79959307990&partnerID=40&md5=a129595a1f19d03eff7a611f12010fc3,Article,Final,,Scopus,2-s2.0-79959307990
"Tayeh, N.S.A.",Human resource management practices and their impacts on personnel's performance in Jordanian Public Academic Libraries: A case of Al-Hussein Bin Talal University Library,2010,European Journal of Scientific Research,47,1,,118,121,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-79957880510&partnerID=40&md5=960e6ffd8619bb57b60ebdc3b335db38,Article,Final,,Scopus,2-s2.0-79957880510
"Kong, E.","Developing organizational knowledge and learning capabilities: Synergistic relationships of human capital, strategic human resource management and human resource management",2010,International Journal of Learning,17,5,,63,80,1,10.18848/1447-9494/cgp/v17i05/47038,https://www.scopus.com/inward/record.url?eid=2-s2.0-79955920105&partnerID=40&md5=0b0484f01a8525f1ad45ac684ed99315,Article,Final,,Scopus,2-s2.0-79955920105
"Duyck, J.-Y., Pijoan, N.",The stakes involved in the management of human resources in services for older people: The case of host institutions | L'enjeu de la gestion des ressources humaines dans le service aux personnes âgées dépendantes: Le cas des établissements d'accueil,2010,Gerontologie et Societe,135,4,,187,211,,10.3917/gs.135.0187,https://www.scopus.com/inward/record.url?eid=2-s2.0-79953100360&partnerID=40&md5=37706f2655743ba0aebe862bf612604a,Article,Final,,Scopus,2-s2.0-79953100360
"Othman, N., Ahmad, Z., Izham, M., Hamzah, M.",The influence of human resource management (HRM) practices on HRM outcomes at non-university status PHEI | Pengaruh Amalan Pengurusan Sumber Manusia (PSM) terhadap Hasil PSM di IPTS Bukan Bertaraf Universiti,2010,Jurnal Pengurusan,31,,,43,53,3,10.17576/pengurusan-2010-31-04,https://www.scopus.com/inward/record.url?eid=2-s2.0-79551642172&partnerID=40&md5=900c3e4a7293f8cb4d884b3566464eda,Article,Final,Open Access,Scopus,2-s2.0-79551642172
"O'Connor, J., Dalton, R., Naro, D.",Lotus workforce management: Streamlining human resource management,2010,International Journal of Web Portals,2,1,,22,36,1,10.4018/jwp.2010010103,https://www.scopus.com/inward/record.url?eid=2-s2.0-78651548382&partnerID=40&md5=d66af81b75f46344369e7011e220898e,Article,Final,,Scopus,2-s2.0-78651548382
"Maksimainen, J., Saariluoma, P.",How human resource management and human capital management influence corporate social responsibility (CSR),2010,"International Journal of Knowledge, Culture and Change Management",10,5,,111,125,3,10.18848/1447-9524/cgp/v10i05/49982,https://www.scopus.com/inward/record.url?eid=2-s2.0-78650771540&partnerID=40&md5=6e01ea1bc35de0c64dd7404a86dea8da,Article,Final,,Scopus,2-s2.0-78650771540
"Mishra, A., Akman, I.",Information technology in human resource management: An empirical assessment,2010,Public Personnel Management,39,3,,271,290,18,10.1177/009102601003900306,https://www.scopus.com/inward/record.url?eid=2-s2.0-78650738477&partnerID=40&md5=40c087647cea577818913bb4e6bd64f2,Article,Final,,Scopus,2-s2.0-78650738477
"Wang, A., Zheng, C., Ma, J.",RETRACTED ARTICLE: A discussion on the status quo.of human resources management and innovative mode in university library,2010,"Proceedings of the International Conference on E-Business and E-Government, ICEE 2010",,,5591486,3494,3497,,10.1109/ICEE.2010.878,https://www.scopus.com/inward/record.url?eid=2-s2.0-78649685718&partnerID=40&md5=a496c0fa79b902fd95b7c580ebfac3d8,Conference Paper,Final,,Scopus,2-s2.0-78649685718
"Jiang, C.",RETRACTED ARTICLE: The effectiveness of human resource management practices on independent innovation: Dynamic capabilities as a mediator,2010,"Proceedings of the International Conference on E-Business and E-Government, ICEE 2010",,,5592017,4807,4811,,10.1109/ICEE.2010.1208,https://www.scopus.com/inward/record.url?eid=2-s2.0-78649658071&partnerID=40&md5=eb768c7477ad4c84d27c9816096587f3,Conference Paper,Final,,Scopus,2-s2.0-78649658071
"Zhang, B., Zhao, H.","RETRACTED ARTICLE: Analyzing costs, problems and countermeasures of small and medium enterprises' human resources management in China",2010,"Proceedings of the International Conference on E-Business and E-Government, ICEE 2010",,,5591642,919,922,,10.1109/ICEE.2010.238,https://www.scopus.com/inward/record.url?eid=2-s2.0-78649646300&partnerID=40&md5=261a86dcbb895a339637baf8bfaffe4d,Conference Paper,Final,,Scopus,2-s2.0-78649646300
"Li, S., Li, H.",RETRACTED ARTICLE: The study of human resource management outsourcing from the view of economic,2010,"Proceedings of the International Conference on E-Business and E-Government, ICEE 2010",,,5590385,1057,1060,,10.1109/ICEE.2010.273,https://www.scopus.com/inward/record.url?eid=2-s2.0-78649638234&partnerID=40&md5=c957448d9ef94d663d0d519c19c1b41b,Conference Paper,Final,,Scopus,2-s2.0-78649638234
"Sakalas, A., Vienazindiene, M.",New public management and the conceptual upheaval of Human Resource Management | Naujoji viešoji vadyba ir konceptualus žmogišk?j? ištekli? valdymo virsmas,2010,Engineering Economics,21,4,,417,425,3,,https://www.scopus.com/inward/record.url?eid=2-s2.0-78449283759&partnerID=40&md5=d877c051e10fcadf799ed6b1e664e98e,Article,Final,,Scopus,2-s2.0-78449283759
"Tsai, C.-J., Edwards, P., Sengupta, S.","The associations between organisational performance, employee attitudes and human resource management practices: An empirical study of small businesses",2010,Journal of General Management,36,3,,1,20,12,10.1177/030630701003600101,https://www.scopus.com/inward/record.url?eid=2-s2.0-78049357133&partnerID=40&md5=130fbab452d297acded85ab9635f3f82,Article,Final,,Scopus,2-s2.0-78049357133
"Halim, H.A., Ha, N.C.",The impact of human resource management strategy on human resource outsourcing,2010,Jurnal Pengurusan,30,,,3,23,,10.17576/pengurusan-2010-30-01,https://www.scopus.com/inward/record.url?eid=2-s2.0-78049296150&partnerID=40&md5=206884c91644e9b21e39006158879f66,Article,Final,Open Access,Scopus,2-s2.0-78049296150
"de Mello, M.L.B.C., Filho, A.A.",The management of human resources in a public institution of science and technology in health: The fiocruz case | A gestão de recursos humanos em uma instituição pública brasileira de ciência e tecnologia em saúde: O caso fiocruz,2010,Revista de Administracao Publica,44,3,,613,636,3,10.1590/s0034-76122010000300004,https://www.scopus.com/inward/record.url?eid=2-s2.0-77958028813&partnerID=40&md5=ec1b3a924e8f74fe94064303c6714a75,Article,Final,Open Access,Scopus,2-s2.0-77958028813
"Li, L., Zhu, H.",RETRACTED ARTICLE: Enterprise human resource management outsourcing decision-making model based on BP neural network,2010,"Proceedings - 2010 2nd International Conference on Modeling, Simulation, and Visualization Methods, WMSVM 2010",,,5558326,184,187,1,10.1109/WMSVM.2010.42,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957906129&partnerID=40&md5=dae1745508c8bf57497dd21e357e6677,Conference Paper,Final,,Scopus,2-s2.0-77957906129
"Wang, Y., Ma, S., Gao, S.",RETRACTED ARTICLE: Human resource management practices and their impact on firm performance in China,2010,ICAMS 2010 - Proceedings of 2010 IEEE International Conference on Advanced Management Science,2,,5552923,279,282,,10.1109/ICAMS.2010.5552923,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957287994&partnerID=40&md5=dc96cda6bb36f49015ccaf5ae8785b1d,Conference Paper,Final,,Scopus,2-s2.0-77957287994
"Wang, L.P., Li, N., Jiang, J., Xu, Z.",RETRACTED ARTICLE: A review and prospects of research on human resource management of intrapreneurship,2010,ICAMS 2010 - Proceedings of 2010 IEEE International Conference on Advanced Management Science,3,,5553199,456,460,,10.1109/ICAMS.2010.5553199,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957284592&partnerID=40&md5=1d3e9ad8ee5b027cf1f9d716a745b9fa,Conference Paper,Final,,Scopus,2-s2.0-77957284592
"Mai, Y.",RETRACTED ARTICLE: CSR affect on human resource management: Trust as a mediator,2010,ICAMS 2010 - Proceedings of 2010 IEEE International Conference on Advanced Management Science,1,,5553058,191,194,,10.1109/ICAMS.2010.5553058,https://www.scopus.com/inward/record.url?eid=2-s2.0-77957276683&partnerID=40&md5=5f2f6be008611888a9906b64ddbfd51d,Conference Paper,Final,,Scopus,2-s2.0-77957276683
